                  authorA	                  authorB	        authorC	Sup(A,B,C)	Sup(A)	Sup(B)	Sup(C)	Con(A)	Con(B)	Con(C)	MinCon	MaxCon
                    98986	                   119078	               	       477	   923	   483	     0	\0.5168	0.9876	0.0000	0.5168	0.9876
                   391612	                   391613	               	       433	   675	   651	     0	\0.6415	0.6651	0.0000	0.6415	0.6651
                    12673	                    12672	               	       398	   653	   582	     0	\0.6095	0.6838	0.0000	0.6095	0.6838
                    71230	                    70255	               	       374	   575	   572	     0	\0.6504	0.6538	0.0000	0.6504	0.6538
                     1193	                   161304	               	       365	   554	   464	     0	\0.6588	0.7866	0.0000	0.6588	0.7866
                    77781	                    77780	               	       351	   764	   457	     0	\0.4594	0.7681	0.0000	0.4594	0.7681
                    11359	                    11360	               	       331	   424	   488	     0	\0.7807	0.6783	0.0000	0.6783	0.7807
                     1908	                     1907	               	       331	   679	   527	     0	\0.4875	0.6281	0.0000	0.4875	0.6281
                    34915	                    34916	               	       315	   406	   331	     0	\0.7759	0.9517	0.0000	0.7759	0.9517
                   138315	                   255697	               	       303	   746	   324	     0	\0.4062	0.9352	0.0000	0.4062	0.9352
                   147482	                   147483	               	       300	   399	   379	     0	\0.7519	0.7916	0.0000	0.7519	0.7916
                   282894	                   708180	               	       299	   471	   306	     0	\0.6348	0.9771	0.0000	0.6348	0.9771
                   140846	                   140848	               	       290	   365	   384	     0	\0.7945	0.7552	0.0000	0.7552	0.7945
                    11103	                    11104	               	       284	   291	   288	     0	\0.9759	0.9861	0.0000	0.9759	0.9861
                    23681	                    23682	               	       266	   507	   303	     0	\0.5247	0.8779	0.0000	0.5247	0.8779
                    72863	                    72864	               	       259	   303	   322	     0	\0.8548	0.8043	0.0000	0.8043	0.8548
                    13809	                    13865	               	       255	   534	   357	     0	\0.4775	0.7143	0.0000	0.4775	0.7143
                   437912	                   432717	               	       246	   253	   336	     0	\0.9723	0.7321	0.0000	0.7321	0.9723
                    52089	                    69930	               	       240	   291	   413	     0	\0.8247	0.5811	0.0000	0.5811	0.8247
                    14878	                    14879	               	       238	   389	   574	     0	\0.6118	0.4146	0.0000	0.4146	0.6118
                     3405	                     3385	               	       237	   268	   321	     0	\0.8843	0.7383	0.0000	0.7383	0.8843
                    34578	                    34577	               	       235	   371	   379	     0	\0.6334	0.6201	0.0000	0.6201	0.6334
                     1650	                    69884	               	       231	   414	   291	     0	\0.5580	0.7938	0.0000	0.5580	0.7938
                    70989	                    70988	               	       229	   393	   336	     0	\0.5827	0.6815	0.0000	0.5827	0.6815
                    67239	                    67240	               	       224	   247	   251	     0	\0.9069	0.8924	0.0000	0.8924	0.9069
                    89659	                    89660	               	       223	   228	   230	     0	\0.9781	0.9696	0.0000	0.9696	0.9781
                   203303	                   209429	               	       219	   257	   253	     0	\0.8521	0.8656	0.0000	0.8521	0.8656
                   203303	                   203302	               	       218	   257	   233	     0	\0.8482	0.9356	0.0000	0.8482	0.9356
                   220452	                    86935	               	       217	   267	   421	     0	\0.8127	0.5154	0.0000	0.5154	0.8127
                    67240	                    67235	               	       216	   251	   246	     0	\0.8606	0.8780	0.0000	0.8606	0.8780
                    75789	                    75788	               	       216	   385	   357	     0	\0.5610	0.6050	0.0000	0.5610	0.6050
                    22250	                    22249	               	       214	   333	   248	     0	\0.6426	0.8629	0.0000	0.6426	0.8629
                    14529	                    14497	               	       212	   220	   418	     0	\0.9636	0.5072	0.0000	0.5072	0.9636
                    12271	                    12270	               	       212	   238	   493	     0	\0.8908	0.4300	0.0000	0.4300	0.8908
                    51412	                     9818	               	       210	   264	   239	     0	\0.7955	0.8787	0.0000	0.7955	0.8787
                    15494	                    16021	               	       208	   316	   235	     0	\0.6582	0.8851	0.0000	0.6582	0.8851
                    67239	                    67235	               	       208	   247	   246	     0	\0.8421	0.8455	0.0000	0.8421	0.8455
                    71389	                    73140	               	       208	   354	   349	     0	\0.5876	0.5960	0.0000	0.5876	0.5960
                   203302	                   209429	               	       207	   233	   253	     0	\0.8884	0.8182	0.0000	0.8182	0.8884
                   203303	                   203302	         209429	       206	   257	   233	   253	\0.8016	0.8841	0.8142	0.8016	0.8841
                   252605	                    34319	               	       204	   319	   389	     0	\0.6395	0.5244	0.0000	0.5244	0.6395
                    67239	                    67240	          67235	       202	   247	   251	   246	\0.8178	0.8048	0.8211	0.8048	0.8211
                     6019	                     6018	               	       201	   202	   243	     0	\0.9950	0.8272	0.0000	0.8272	0.9950
                   104388	                    79724	               	       199	   237	   370	     0	\0.8397	0.5378	0.0000	0.5378	0.8397
                      415	                    11238	               	       199	   439	   288	     0	\0.4533	0.6910	0.0000	0.4533	0.6910
                    73071	                    22188	               	       194	   220	   286	     0	\0.8818	0.6783	0.0000	0.6783	0.8818
                   144237	                   144236	               	       194	   347	   280	     0	\0.5591	0.6929	0.0000	0.5591	0.6929
                   432515	                   432022	               	       192	   351	   338	     0	\0.5470	0.5680	0.0000	0.5470	0.5680
